species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,43.855256030334985,17.611158890703358,193,3439,FEMALE
Chinstrap,Dream,48.78698868174296,18.102583191380546,193,3539,FEMALE
Chinstrap,Dream,47.37115001460772,18.36084113253385,190,3234,FEMALE
Chinstrap,Dream,45.513860885042355,17.096198907108352,192,3561,FEMALE
Chinstrap,Dream,53.28871544804461,17.879373697566713,193,3511,FEMALE
Chinstrap,Dream,40.1454861419586,18.857164987935203,188,3613,FEMALE
Chinstrap,Dream,47.767622364646726,18.13142115594631,193,3457,FEMALE
Chinstrap,Dream,44.83863095118002,18.87511705102835,197,3511,FEMALE
Chinstrap,Dream,47.7551276429442,18.193769047288804,187,3864,FEMALE
Chinstrap,Dream,47.14393426640555,19.191207543670743,195,3572,FEMALE
Chinstrap,Dream,48.20654281156481,17.911363118360452,181,3483,FEMALE
Chinstrap,Dream,44.024090801207464,17.528164005364108,202,3461,FEMALE
Chinstrap,Dream,45.64037533827229,16.79943021885667,191,3792,FEMALE
Chinstrap,Dream,43.951960161903195,17.183364227220476,194,3923,FEMALE
Chinstrap,Dream,47.57329575045785,17.22886249040028,190,3556,FEMALE
Chinstrap,Dream,45.61479819029555,16.235838072343743,185,3439,FEMALE
Chinstrap,Dream,47.64282731935784,17.83592868258682,189,3768,FEMALE
Chinstrap,Dream,43.79900615228905,17.332511186904462,184,3516,FEMALE
Chinstrap,Dream,47.587304738853526,16.778852782210052,198,3796,FEMALE
Chinstrap,Dream,49.27211166315679,16.805627195028197,189,3774,FEMALE
Chinstrap,Dream,49.25928136799482,16.43552060395225,189,3537,FEMALE
Chinstrap,Dream,44.344654006786094,18.3926525106043,194,3502,FEMALE
Chinstrap,Dream,53.04487354261151,18.466198821835768,191,3659,FEMALE
Chinstrap,Dream,45.15999352258769,18.224465711578034,188,3263,FEMALE
Chinstrap,Dream,47.81546340521093,17.11552460737535,184,3138,FEMALE
Chinstrap,Dream,53.39566619985023,19.482512847153707,197,4111,FEMALE
Chinstrap,Dream,47.95763222443053,17.905416629401817,192,3323,FEMALE
Chinstrap,Dream,48.68133665370037,17.457751856396772,184,3777,FEMALE
Chinstrap,Dream,47.52875747553679,19.155815804648228,187,3715,FEMALE
Chinstrap,Dream,43.52312496908697,17.66892581523952,196,3737,FEMALE
Chinstrap,Dream,47.60180273743041,19.53298353573171,192,3613,FEMALE
Chinstrap,Dream,46.160873255480105,17.583200116199077,187,3299,FEMALE
Chinstrap,Dream,44.89571410561873,17.425850637945445,178,3450,FEMALE
Chinstrap,Dream,42.22754176278812,16.905041797187494,188,3980,FEMALE
Chinstrap,Dream,47.29129605065238,18.464032841179648,196,3599,FEMALE
Chinstrap,Dream,47.026266604329344,18.1274073911676,197,3312,FEMALE
Chinstrap,Dream,44.68078856667518,16.666523405428684,185,3460,FEMALE
Chinstrap,Dream,50.53834914139032,18.292989941594325,202,3579,FEMALE
Chinstrap,Dream,50.07018162834773,18.455978865255624,195,3911,FEMALE
Chinstrap,Dream,40.62551521163208,15.74848262390134,190,3013,FEMALE
Chinstrap,Dream,47.65500664646843,17.897017205767245,195,3827,FEMALE
Chinstrap,Dream,47.02476990801749,17.132626673964605,195,3584,FEMALE
Chinstrap,Dream,49.55334915699273,18.045395843680545,183,3463,FEMALE
Chinstrap,Dream,39.28071088365217,16.280240143933526,186,3471,FEMALE
Chinstrap,Dream,40.856275768243776,16.56189184382147,192,3227,FEMALE
Chinstrap,Dream,44.29029946499868,16.659117741576782,201,3812,FEMALE
Chinstrap,Dream,45.529767728094725,17.537608703169276,193,3408,FEMALE
Chinstrap,Dream,45.87054570219148,18.295087511573144,192,3527,FEMALE
Chinstrap,Dream,43.26982625129128,17.89447736405102,196,3599,FEMALE
Chinstrap,Dream,51.556255638734214,18.09255768192749,190,3635,FEMALE
Chinstrap,Dream,48.561892017361835,17.704097302539274,194,3590,FEMALE
Chinstrap,Dream,38.86018329609782,16.704960668223837,183,3248,FEMALE
Chinstrap,Dream,45.66542303625862,16.057878982261148,185,3219,FEMALE
Chinstrap,Dream,44.42963213134526,17.57066511012314,191,3604,FEMALE
Chinstrap,Dream,40.39166642738833,16.882356946440137,185,3370,FEMALE
Chinstrap,Dream,45.72018602279952,16.619441522692973,195,3229,FEMALE
Chinstrap,Dream,47.99714909179691,18.13818921716676,193,4104,FEMALE
Chinstrap,Dream,47.915083062546,16.74270538948421,198,3199,FEMALE
Chinstrap,Dream,43.976834424243954,17.602921904476474,191,3102,FEMALE
Chinstrap,Dream,42.63832239744927,18.426564170189824,189,3459,FEMALE
Chinstrap,Dream,46.627699129973784,16.828502689239112,194,3147,FEMALE
Chinstrap,Dream,42.448596863388204,16.630090502280346,197,3714,FEMALE
Chinstrap,Dream,47.85631312557012,16.225904343340375,185,3140,FEMALE
Chinstrap,Dream,43.197966892808445,18.418707868508758,189,3635,FEMALE
Chinstrap,Dream,41.683248868974445,17.335082831873358,201,3355,FEMALE
Chinstrap,Dream,46.698141249248046,17.481058119964192,189,3974,FEMALE
Chinstrap,Dream,49.11944300173757,18.11953078053061,185,3663,FEMALE
Chinstrap,Dream,50.641399087077005,18.462922224652505,198,3767,FEMALE
Chinstrap,Dream,51.388377886177466,18.21619233228691,191,3700,FEMALE
Chinstrap,Dream,47.91479608803685,17.856124287309935,202,3660,FEMALE
Chinstrap,Dream,44.04408481476208,16.83115373173731,184,3891,FEMALE
Chinstrap,Dream,52.89376080158566,18.694366980276392,184,3577,FEMALE
Chinstrap,Dream,47.631964590876464,19.24746126819287,200,3992,FEMALE
Chinstrap,Dream,45.72843078493082,16.459060576368447,191,3217,FEMALE
Chinstrap,Dream,50.000422567084634,17.89566791116177,192,4084,FEMALE
Chinstrap,Dream,49.81538905244032,17.43830134640642,190,3377,FEMALE
Chinstrap,Dream,45.06544227666827,17.6204496037654,189,3056,FEMALE
Chinstrap,Dream,50.165189762856286,17.384480139046968,193,3826,FEMALE
Chinstrap,Dream,45.70723978808341,17.325909378202,189,3690,FEMALE
Chinstrap,Dream,41.81731738053454,17.550638916945694,188,3268,FEMALE
Chinstrap,Dream,49.335482235980656,18.177961178973472,195,3488,FEMALE
Chinstrap,Dream,49.569156774974886,16.932502493731327,200,3572,FEMALE
Chinstrap,Dream,48.57256981417952,18.08875054333987,195,3677,FEMALE
Chinstrap,Dream,44.880345083408216,17.210766594719136,193,3251,FEMALE
Chinstrap,Dream,46.015446702682986,16.93686207327048,187,3481,FEMALE
Chinstrap,Dream,44.66638284306063,18.265049246688264,189,3606,FEMALE
Chinstrap,Dream,47.6390685462777,17.151359888284897,197,3486,FEMALE
Chinstrap,Dream,49.105061668325995,17.3034422034735,188,3409,FEMALE
Chinstrap,Dream,43.13512364014031,17.426007776576682,181,3111,FEMALE
Chinstrap,Dream,44.50217439231883,15.894344974415404,184,3297,FEMALE
Chinstrap,Dream,45.86439366743406,16.223533574654684,191,3484,FEMALE
Chinstrap,Dream,45.41535579553545,18.033918997908437,204,3813,FEMALE
Chinstrap,Dream,46.347644112433045,18.40437540354982,192,3527,FEMALE
Chinstrap,Dream,45.54469285843584,18.80823310269184,197,3951,FEMALE
Chinstrap,Dream,42.73341689212862,16.501238261270846,189,3395,FEMALE
Chinstrap,Dream,53.686093379426126,18.261104067503723,180,3611,FEMALE
Chinstrap,Dream,47.4689964507974,18.29796518369911,193,3877,FEMALE
Chinstrap,Dream,49.224393990353896,20.20420599119545,193,4182,FEMALE
Chinstrap,Dream,45.998392908181984,17.725074618549485,204,3096,FEMALE
Chinstrap,Dream,42.74140260223544,17.866220170309422,189,3458,FEMALE
Chinstrap,Dream,49.926747824661014,18.158456256068316,191,3261,FEMALE
Chinstrap,Dream,44.47837065791708,17.3838039483014,188,3170,FEMALE
Chinstrap,Dream,41.635165064392595,16.551416543090586,186,3193,FEMALE
Chinstrap,Dream,48.75562744721103,16.931717240617733,187,3669,FEMALE
Chinstrap,Dream,45.054439471566944,17.75646453401418,196,3473,FEMALE
Chinstrap,Dream,52.38371072505206,18.75726788051555,195,3840,FEMALE
Chinstrap,Dream,49.652327962715034,18.493478861114227,202,3790,FEMALE
Chinstrap,Dream,46.67818642865661,16.642586336501164,182,3248,FEMALE
Chinstrap,Dream,47.63278963203645,17.27364048735592,193,3498,FEMALE
Chinstrap,Dream,43.877414566838254,17.159575025393394,188,3312,FEMALE
Chinstrap,Dream,48.32943860593701,16.13081202972461,184,3058,FEMALE
Chinstrap,Dream,43.50640739390235,17.18750326729602,193,3050,FEMALE
Chinstrap,Dream,45.185371607127266,17.80041785299543,191,3349,FEMALE
Chinstrap,Dream,44.51777820068367,18.478111655670162,183,3719,FEMALE
Chinstrap,Dream,46.39606482672497,16.378246378594312,199,3285,FEMALE
Chinstrap,Dream,49.236993664469374,17.564846118076776,184,4160,FEMALE
Chinstrap,Dream,45.41184059469062,17.87768052034389,201,4036,FEMALE
Chinstrap,Dream,48.6648879371173,18.670066431645186,186,4017,FEMALE
Chinstrap,Dream,52.65279446947606,18.759734754716874,185,3887,FEMALE
Chinstrap,Dream,43.55808334831923,17.596727674405308,179,3586,FEMALE
Chinstrap,Dream,45.44220159060265,18.266774014185295,201,3844,FEMALE
Chinstrap,Dream,48.74229756422162,17.0490293001939,187,3367,FEMALE
Chinstrap,Dream,46.37612974430776,17.554245007991756,191,3585,FEMALE
Chinstrap,Dream,42.34055956886856,17.110934047525742,193,3226,FEMALE
Chinstrap,Dream,41.887246941095135,17.896425415670567,197,3942,FEMALE
Chinstrap,Dream,43.99452249810495,18.546141559181546,190,3603,FEMALE
Chinstrap,Dream,43.26369682427554,17.10360437683799,192,3404,FEMALE
Chinstrap,Dream,45.64890915663466,18.002208003302894,181,3541,FEMALE
Chinstrap,Dream,49.10899525789732,18.052607717624706,185,3254,FEMALE
Chinstrap,Dream,43.75905472573443,18.020762242988628,197,3824,FEMALE
Chinstrap,Dream,48.797048005916096,16.682004530871122,186,3181,FEMALE
Chinstrap,Dream,45.04836634750167,18.236675733223354,184,3701,FEMALE
Chinstrap,Dream,42.999837347389644,18.11082790237766,192,3631,FEMALE
Chinstrap,Dream,51.325691809732966,16.5103637160398,188,3341,FEMALE
Chinstrap,Dream,46.47407458336806,16.606434508476983,184,3328,FEMALE
Chinstrap,Dream,51.08411717092078,17.320081548703595,201,3853,FEMALE
Chinstrap,Dream,43.26670600974466,17.65226616297912,192,3556,FEMALE
Chinstrap,Dream,52.87704647820359,18.693188252035778,186,3439,FEMALE
Chinstrap,Dream,47.719503926501325,16.97122624930805,182,3118,FEMALE
Chinstrap,Dream,45.57003914416353,18.285419909745187,184,2899,FEMALE
Chinstrap,Dream,48.749796451246446,17.865308741359865,197,3421,FEMALE
Chinstrap,Dream,45.72670383476331,16.51764977589527,191,3642,FEMALE
Chinstrap,Dream,45.70208192408882,17.359940226470947,194,3414,FEMALE
Chinstrap,Dream,47.13718893064831,18.08494892825957,202,3489,FEMALE
Chinstrap,Dream,41.15816345838991,17.046127383177378,187,3658,FEMALE
